,city,voivodeship,Name,Population,Latitude,Longitude
230,brzeziny,Świętokrzyskie,Brzeziny,12577.0,51.8004949,19.7517694
231,brzeziny,Świętokrzyskie,Brzeziny,12577.0,51.8004949,19.7517694
232,blaszki,Łódzkie,Błaszki,2273.0,51.6525013,18.432926100000003
233,drzewica,Łódzkie,Drzewica,4008.0,51.450838399999995,20.4773617
234,dzialoszyn,Łódzkie,Działoszyn,6173.0,51.1168037,18.8651633
235,glowno,Łódzkie,Głowno,14814.0,51.9660873,19.713566500000002
236,kamiensk,Łódzkie,Kamieńsk,2890.0,51.204172,19.4970714
237,koluszki,Łódzkie,Koluszki,13419.0,51.7444956,19.817966000000002
238,konstantynow-lodzki,Łódzkie,Konstantynów Łódzki,17804.0,51.7475546,19.3255118
239,krosniewice,Łódzkie,Krośniewice,4460.0,52.256063899999994,19.1689326
240,kutno,Łódzkie,Kutno,45657.0,52.2317559,19.3570182
241,lututow,Łódzkie,Lututów,2235.0,51.3712494,18.434600699999997
242,opoczno,Łódzkie,Opoczno,22188.0,51.3782439,20.2931754
243,ozorkow,Łódzkie,Ozorków,20175.0,51.963610100000004,19.2918111
244,pabianice,Łódzkie,Pabianice,67688.0,51.6639859,19.353502399999996
245,pajeczno,Łódzkie,Pajęczno,6700.0,51.146882399999996,18.9956984
246,piotrkow-trybunalski,Łódzkie,Piotrków Trybunalski,75903.0,51.4082625,19.696167000000003
247,piatek,Łódzkie,Piątek,2130.0,52.068988299999994,19.479972600000004
248,poddebice,Łódzkie,Poddębice,7780.0,51.8931973,18.9517348
249,przedborz,Łódzkie,Przedbórz,3800.0,51.0868077,19.8744414
250,radomsko,Łódzkie,Radomsko,47643.0,51.067476899999996,19.4446109
251,rawa-mazowiecka,Łódzkie,Rawa Mazowiecka,17819.0,51.7624929,20.2519293
252,rzgow,Łódzkie,Rzgów,3300.0,51.662645899999994,19.4908076
253,sieradz,Łódzkie,Sieradz,43356.0,51.594247499999994,18.7378774
254,skierniewice,Łódzkie,Skierniewice,48634.0,51.9568581,20.1430044
255,strykow,Łódzkie,Stryków,3537.0,51.900944700000004,19.6036969
256,sulejow,Łódzkie,Sulejów,6349.0,51.3549202,19.8890802
257,szadek,Łódzkie,Szadek,2019.0,51.69175,18.97703
258,tomaszow-mazowiecki,Łódzkie,Tomaszów Mazowiecki,64893.0,51.5316918,20.008419500000002
259,tuszyn,Łódzkie,Tuszyn,7201.0,51.60308,19.544539999999998
260,ujazd,Łódzkie,Ujazd,1740.0,50.3892513,18.350450199999997
261,ujazd,Opolskie,Ujazd,1740.0,50.3892513,18.350450199999997
262,uniejow,Łódzkie,Uniejów,3079.0,51.974130200000005,18.793245000000002
263,warta,Łódzkie,Warta,3337.0,51.708192700000005,18.625079100000004
264,wielun,Łódzkie,Wieluń,23546.0,51.2205345,18.5701081
265,wieruszow,Łódzkie,Wieruszów,8848.0,51.29516470000001,18.151062300000003
266,wolborz,Łódzkie,Wolbórz,2381.0,51.5036311,19.830319
267,zdunska-wola,Łódzkie,Zduńska Wola,43615.0,51.602861499999996,18.9333201
268,zelow,Łódzkie,Zelów,7833.0,51.4652772,19.218494699999997
269,zgierz,Łódzkie,Zgierz,57503.0,51.8559434,19.4056443
270,zloczew,Łódzkie,Złoczew,3377.0,51.417511700000006,18.6059007
271,lask,Łódzkie,Łask,18029.0,51.592994700000006,19.133478399999998
272,lowicz,Łódzkie,Łowicz,29420.0,52.107683,19.9447873
273,lodz,Łódzkie,Łódź,711332.0,51.768732299999996,19.456991100000003
274,lodz,Wielkopolskie,Łódź,711332.0,51.768732299999996,19.456991100000003
275,leczyca,Łódzkie,Łęczyca,14786.0,52.059364200000005,19.201568100000003
276,zychlin,Łódzkie,Żychlin,8576.0,52.244008799999996,19.6260932
277,alwernia,Małopolskie,Alwernia,3425.0,50.0690434,19.539673699999998
278,andrychow,Małopolskie,Andrychów,21111.0,49.8555791,19.3436756
279,biecz,Małopolskie,Biecz,4705.0,49.730535100000004,21.249420999999998
280,bobowa,Małopolskie,Bobowa,3086.0,49.7130028,20.9576054
281,bochnia,Małopolskie,Bochnia,30219.0,49.969356299999994,20.430541
282,brzesko,Małopolskie,Brzesko,17097.0,49.9678396,20.6068496
283,brzeszcze,Małopolskie,Brzeszcze,11474.0,49.9819014,19.1528065
284,bukowno_3971,Małopolskie,Bukowno,10411.0,50.269777600000005,19.463813100000003
285,chelmek,Małopolskie,Chełmek,9150.0,50.1003348,19.2542585
286,chrzanow,Małopolskie,Chrzanów,38117.0,50.141192600000004,19.4028502
287,dobczyce,Małopolskie,Dobczyce,6469.0,49.880343200000006,20.0905415
288,dobra,Małopolskie,Dobra,1454.0,51.9160472,18.615180600000002
289,dobra,Małopolskie,Dobra,2347.0,53.584658999999995,15.3073048
290,dobra,Opolskie,Dobra,1454.0,51.9160472,18.615180600000002
291,dobra,Opolskie,Dobra,2347.0,53.584658999999995,15.3073048
